Correct,Strategy,Start zone,Trial
0,3,2,1
1,3,2,2
0,3,1,3
1,3,1,4
1,3,2,5
1,3,1,6
1,3,2,7
1,3,2,8
1,3,2,9
0,3,2,10
1,3,2,11
0,3,2,12
1,3,2,13
1,3,1,14
1,3,2,15
1,3,2,16
0,3,2,17
1,3,2,18
1,3,2,19
0,3,2,20
1,3,2,21
1,3,1,22
1,3,2,23
0,3,1,24
0,3,1,25
1,3,1,26
1,3,2,27
1,3,2,28
1,3,2,29
1,3,1,30
0,3,1,31
1,3,1,32
1,3,1,33
0,3,2,34
1,3,2,35
1,3,2,36
1,3,1,37
0,3,1,38
1,3,1,39
1,3,1,40
1,3,2,41
0,3,1,42
1,3,1,43
1,3,2,44
1,3,1,45
1,3,2,46
1,3,1,47
1,3,2,48
0,3,2,49
1,3,2,50
0,3,1,51
1,3,1,52
0,3,1,53
1,3,1,54
1,3,2,55
1,3,1,56
1,3,1,57
1,3,2,58
1,3,2,59
1,3,2,60
1,3,2,61
1,3,1,62
1,3,1,63
0,3,1,64
1,3,1,65
1,3,2,66
0,1,2,68
0,1,2,69
0,1,2,70
0,1,2,71
1,1,2,72
1,1,1,73
0,1,2,74
0,1,2,75
1,1,2,76
1,1,2,77
0,1,2,78
1,1,2,79
0,1,2,80
1,1,2,81
1,1,1,82
1,1,2,83
1,1,1,84
1,1,2,85
1,1,1,86
1,1,2,87
1,1,1,88
1,1,1,89
1,1,2,90
0,3,2,92
1,3,2,93
0,3,1,94
1,3,1,95
1,3,2,96
1,3,1,97
1,3,2,98
1,3,2,99
1,3,2,100
0,3,2,101
1,3,2,102
0,3,2,103
1,3,2,104
1,3,1,105
1,3,2,106
1,3,2,107
0,3,2,108
1,3,2,109
1,3,2,110
0,3,2,111
1,3,2,112
1,3,1,113
1,3,2,114
0,3,1,115
0,3,1,116
1,3,1,117
1,3,2,118
1,3,2,119
1,3,2,120
1,3,1,121
0,3,1,122
1,3,1,123
1,3,1,124
0,3,2,125
1,3,2,126
1,3,2,127
1,3,1,128
0,3,1,129
1,3,1,130
1,3,1,131
1,3,2,132
0,3,1,133
1,3,1,134
1,3,2,135
1,3,1,136
1,3,2,137
1,3,1,138
1,3,2,139
0,3,2,140
1,3,2,141
0,3,1,142
1,3,1,143
0,3,1,144
1,3,1,145
1,3,2,146
1,3,1,147
1,3,1,148
1,3,2,149
1,3,2,150
1,3,2,151
1,3,2,152
1,3,1,153
1,3,1,154
0,3,1,155
1,3,1,156
1,3,2,157
0,1,2,159
0,1,2,160
0,1,2,161
0,1,2,162
1,1,2,163
1,1,1,164
0,1,2,165
0,1,2,166
1,1,2,167
1,1,2,168
0,1,2,169
1,1,2,170
0,1,2,171
1,1,2,172
1,1,1,173
1,1,2,174
1,1,1,175
1,1,2,176
1,1,1,177
1,1,2,178
1,1,1,179
1,1,1,180
1,1,2,181
0,4,1,183
1,4,1,184
0,4,2,185
1,4,2,186
1,4,1,187
1,4,2,188
0,4,1,189
1,4,1,190
0,4,2,191
0,4,2,192
0,4,2,193
1,4,2,194
0,4,1,195
1,4,1,196
0,4,1,197
1,4,1,198
0,4,2,199
1,4,2,200
0,4,2,201
1,4,2,202
0,4,1,203
1,4,1,204
1,4,2,205
0,4,2,206
0,4,2,207
0,4,2,208
1,4,2,209
0,4,1,210
1,4,1,211
1,4,2,212
1,4,2,213
0,4,2,214
1,4,2,215
1,4,2,216
1,4,1,217
0,4,1,218
0,4,1,219
0,4,1,220
1,4,1,221
0,4,1,222
0,4,1,223
1,4,1,224
0,4,2,225
1,4,2,226
1,4,2,227
0,4,1,228
1,4,1,229
1,4,1,230
1,4,2,231
1,4,1,232
1,4,1,233
0,4,1,234
1,4,1,235
1,4,2,236
0,4,2,237
1,4,2,238
1,4,1,239
0,4,1,240
0,4,1,241
1,4,1,242
0,4,2,243
1,4,2,244
1,4,1,245
0,4,2,246
1,4,2,247
1,4,1,248
1,4,2,249
1,4,1,250
0,4,1,251
1,4,1,252
1,4,2,253
0,4,2,254
1,4,2,255
1,4,1,256
1,4,1,257
0,4,1,258
1,4,1,259
1,4,2,260
0,4,2,261
0,4,2,262
1,4,2,263
0,4,1,264
0,4,1,265
1,4,1,266
1,4,2,267
1,4,2,268
1,4,1,269
1,4,2,270
0,4,2,271
1,4,2,272
1,4,2,273
0,4,2,274
1,4,2,275
0,4,1,276
1,4,1,277
0,4,1,278
1,4,1,279
1,4,2,280
0,4,2,281
1,4,2,282
1,4,2,283
0,4,1,284
1,4,1,285
1,4,2,286
1,4,2,287
1,4,2,288
0,4,1,289
1,4,1,290
1,4,2,291
1,4,1,292
1,4,2,293
1,4,2,294
1,4,2,295
0,4,1,296
1,4,1,297
1,4,2,298
1,4,1,299
0,2,1,301
1,2,1,302
0,2,1,303
1,2,1,304
0,2,2,305
0,2,2,306
1,2,2,307
0,2,1,308
1,2,1,309
0,2,2,310
1,2,2,311
1,2,1,312
1,2,1,313
0,2,2,314
1,2,2,315
0,2,2,316
1,2,2,317
1,2,2,318
0,2,2,319
1,2,2,320
1,2,1,321
1,2,1,322
0,2,1,323
1,2,1,324
1,2,2,325
1,2,1,326
1,2,2,327
1,2,2,328
1,2,1,329
1,2,1,330
1,2,1,331
0,4,1,333
1,4,1,334
0,4,2,335
1,4,2,336
1,4,1,337
1,4,2,338
0,4,1,339
1,4,1,340
0,4,2,341
0,4,2,342
0,4,2,343
1,4,2,344
0,4,1,345
1,4,1,346
0,4,1,347
1,4,1,348
0,4,2,349
1,4,2,350
0,4,2,351
1,4,2,352
0,4,1,353
1,4,1,354
1,4,2,355
0,4,2,356
0,4,2,357
0,4,2,358
1,4,2,359
0,4,1,360
1,4,1,361
1,4,2,362
1,4,2,363
0,4,2,364
1,4,2,365
1,4,2,366
1,4,1,367
0,4,1,368
0,4,1,369
0,4,1,370
1,4,1,371
0,4,1,372
0,4,1,373
1,4,1,374
0,4,2,375
1,4,2,376
1,4,2,377
0,4,1,378
1,4,1,379
1,4,1,380
1,4,2,381
1,4,1,382
1,4,1,383
0,4,1,384
1,4,1,385
1,4,2,386
0,4,2,387
1,4,2,388
1,4,1,389
0,4,1,390
0,4,1,391
1,4,1,392
0,4,2,393
1,4,2,394
1,4,1,395
0,4,2,396
1,4,2,397
1,4,1,398
1,4,2,399
1,4,1,400
0,4,1,401
1,4,1,402
1,4,2,403
0,4,2,404
1,4,2,405
1,4,1,406
1,4,1,407
0,4,1,408
1,4,1,409
1,4,2,410
0,4,2,411
0,4,2,412
1,4,2,413
0,4,1,414
0,4,1,415
1,4,1,416
1,4,2,417
1,4,2,418
1,4,1,419
1,4,2,420
0,4,2,421
1,4,2,422
1,4,2,423
0,4,2,424
1,4,2,425
0,4,1,426
1,4,1,427
0,4,1,428
1,4,1,429
1,4,2,430
0,4,2,431
1,4,2,432
1,4,2,433
0,4,1,434
1,4,1,435
1,4,2,436
1,4,2,437
1,4,2,438
0,4,1,439
1,4,1,440
1,4,2,441
1,4,1,442
1,4,2,443
1,4,2,444
1,4,2,445
0,4,1,446
1,4,1,447
1,4,2,448
1,4,1,449
0,2,1,451
1,2,1,452
0,2,1,453
1,2,1,454
0,2,2,455
0,2,2,456
1,2,2,457
0,2,1,458
1,2,1,459
0,2,2,460
1,2,2,461
1,2,1,462
1,2,1,463
0,2,2,464
1,2,2,465
0,2,2,466
1,2,2,467
1,2,2,468
0,2,2,469
1,2,2,470
1,2,1,471
1,2,1,472
0,2,1,473
1,2,1,474
1,2,2,475
1,2,1,476
1,2,2,477
1,2,2,478
1,2,1,479
1,2,1,480
1,2,1,481
0,3,1,483
1,3,1,484
1,3,1,485
0,3,1,486
1,3,1,487
1,3,2,488
1,3,1,489
1,3,2,490
0,3,2,491
0,3,2,492
0,3,2,493
1,3,2,494
1,3,1,495
0,3,1,496
1,3,1,497
0,3,2,498
1,3,2,499
0,3,2,500
1,3,2,501
0,3,2,502
0,3,2,503
1,3,2,504
0,3,1,505
1,3,1,506
0,3,1,507
1,3,1,508
0,3,2,509
0,3,2,510
1,3,2,511
1,3,1,512
1,3,2,513
0,3,2,514
0,3,2,515
1,3,2,516
0,3,2,517
1,3,2,518
1,3,1,519
0,3,1,520
0,3,1,521
1,3,1,522
1,3,2,523
0,3,2,524
0,3,2,525
1,3,2,526
1,3,1,527
1,3,1,528
1,3,2,529
1,3,1,530
0,3,2,531
1,3,2,532
0,3,2,533
0,3,2,534
1,3,2,535
0,3,2,536
0,3,2,537
1,3,2,538
0,3,1,539
1,3,1,540
0,3,2,541
1,3,2,542
